REFERENCE;ETABLISSEMENT;RESEAU;ACTIVIT;CONTACT;EMAILCONTACT;SITEWEB;TELEPHONE;FAX;HANDICAPS;CODEPOSTAL;ADRESSE;REGION;DEPARTEMENT;VILLE
2015-00191;Office de Tourisme de Grasse;Tourisme et Handicap;Office de tourisme;M.Brochiero;info@grasse.fr;http://www.grasse.fr;493366666;493368636;"auditif ; mental ; moteur ; visuel";6131;Place de la Buanderie;Provence Alpes-Côte d'Azur;ALPES-MARITIMES;GRASSE
2014-00336;Chambre d'hôtes L'Escale du Vieux Chapus;Tourisme et Handicap;Chambre d'hôtes;M.Bompard;contact@escaleduvieuxchapus.fr;http://www.escaleduvieuxchapus.fr;660620105;;"auditif ; mental ; visuel";17560;46 Rue du Vieux Port;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;BOURCEFRANC LE CHAPUS
2014-00337;Chambres d'hôtes Les Chambres de Diane;Tourisme et Handicap;Chambre d'hôtes;Mme De Chasteigner;info@aubergedelarose.org;http://www.aubergedelarose.org;237480513;;"auditif ; mental";28260;7 rue Charles Lechevrel;Centre -  Val de Loire;EURE-ET-LOIR;ANET
2014-00338;Maison d'hôtes La Demeure de Bien Etre;Tourisme et Handicap;Chambre d'hôtes;M.Prost;lespallieres@gmail.com;http://www.chambre-hote-provence.com;494804535;;"auditif ; mental ; visuel";83570;Place du Four Vieux Escalier du Couvent;Provence Alpes-Côte d'Azur;VAR;ESPARRON
2014-00111;Restaurant Le Jardin;Tourisme et Handicap;Restaurant;Mme Cotteret;sophie.cotteret@hotmail.fr;;546410642;546410642;"auditif ; mental";17000;5 bis rue Gargoulleau;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;ROCHELLE (LA)
2014-00112;Meublé;Tourisme et Handicap;Meublé de tourisme;M.Martin-Rochet;locationsaurier@free.fr;http://www.locationsaurier.free.fr;473865875;;"auditif ; mental";63320;10 Impasse du Tout;Auvergne Rhône-Alpes;PUY-DE-DOME;SAURIER
2014-00113;Chambre d'hotes Maison Prairie Bonheur;Tourisme et Handicap;Chambre d'hôtes;Mme Bonnassies;annebonnassies@wanadoo.fr;http://www.chambres-hotes-prairie-bonheur.com;130442608;;"auditif ; mental ; moteur ; visuel";78114;5 Chemin des Patissiaux;Ile-de-France;YVELINES;MAGNY LES HAMEAUX
2014-00114;Restaurant Winchester Grill;Tourisme et Handicap;Restaurant;Mme Barroire;h2059@accor.com;http://;323201811;;"auditif ; mental ; moteur ; visuel";2000;Avenue Georges Pompidou;Nord-Pas de Calais Picardie;AISNE;LAON
2015-00192;Gite d'Etape;Tourisme et Handicap;Hébergement collectif;Mme Prinson;marion.prinson@orange.fr;http://;492502044;;"mental ; moteur";5700;Les Eysserennes;Provence Alpes-Côte d'Azur;HAUTES-ALPES;SAVOURNON
2014-00339;Train Touristique SARL L'Orient Express;Tourisme et Handicap;Structure diverse;M.Delamarche;contact@petit-train-fougeres.com;http://www.petit-train-fougeres.com;299946030;299946039;"auditif ; mental";35300;36 Rue de Nantes;Bretagne;ILLE-ET-VILAINE;FOUGERES
2014-00980;Musée de l'Ile d'Oléron;FEMS;Ecomusée;;museeoleron@cdc-oleron.fr;http://www.oleron-nature-culture.com;05 46 75 05 16;;;;9 place Gambetta;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINT PIERRE D'OLÉRON
2014-00981;Port des Salines;FEMS;Ecomusée;;le.port.des.salines@cdc-oleron.fr;http://www.oleron-nature-culture.com;05.46.75.82.28;05.46.75.82.28;;17370;Petit Village - Rue des anciennes Salines;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;GRAND-VILLAGE-PLAGE (LE)
2015-00193;Studio 2 - Les Gites des Cinq Chemins;Tourisme et Handicap;Meublé de tourisme;M.Gouttequillet;nectaretnature@wanadoo.fr;http://wwwlesgitesdes5chemins.com.;473889431;473889796;"auditif ; moteur";63230;Champille;Auvergne Rhône-Alpes;PUY-DE-DOME;MAZAYES
2015-00194;Restaurant Moulin de la Tardoire;Tourisme et Handicap;Restaurant;M.Brudo;contactmoulindelatardoire@gmail.com;http://;545664146;;"auditif ; mental ; moteur ; visuel";16220;La Forge;Aquitaine Limousin Poitou-Charentes;CHARENTE;MONTBRON
2014-00340;Cave  Paul Buisse;Tourisme et Handicap;Lieu de visite;M.Chainier;contact@paul-buisse.com;http://www.paul-buisse.com;254323473;;"auditif ; mental ; moteur";41400;69 Route de Vierzon;Centre -  Val de Loire;LOIR-ET-CHER;MONTRICHARD
2014-00988;Hebergement de groupe La Brise de Mer;Tourisme et Handicap;Meublé de tourisme;Mme Gloria;accueil@brisedemer44.com;http://www.brisedemer44.com;240278649;;"auditif ; mental ; moteur ; visuel";44730;97 rue du Rebois;Pays de la Loire;LOIRE-ATLANTIQUE;SAINT MICHEL CHEF CHEF
2013-11358;Petit Gite des Agrodélices du Forez;Tourisme et Handicap;Meublé de tourisme;M.Siveton;bernard.siveton@wanadoo.fr;http://www.bienvenue-a-la-ferme.com;0477622958/0688124441;477622958;"auditif ; mental";42110;La Garde;Auvergne Rhône-Alpes;LOIRE;SAINT-DIDIER-SUR-ROCHEFORT
2013-11359;Chambres d'hôtes Chateau du Bourg;Tourisme et Handicap;Chambre d'hôtes;M. Du Bourg;pbp47@orange.fr;http://www.chateaudubourg-perreux.com;607374818;;"auditif ; mental";42120;Château du Bourg;Auvergne Rhône-Alpes;LOIRE;PERREUX
2013-11360;Meublé Hortensia;Tourisme et Handicap;Meublé de tourisme;Mme Jousserand;;http://;0477529512/0689339770;;"auditif ; mental ; visuel";42170;La Grange aux Hirondelles;Auvergne Rhône-Alpes;LOIRE;CHAMBLES
2013-11608;La résidence des Sources;Tourisme et Handicap;Hôtel;M.Jérome Gonet;residencelessources@wanadoo.fr;http://www.70lessources.fr;384937004;384939898;"mental ; visuel";70300;2 rue Jean Moulin;Bourgogne Franche-Comté;HAUTE-SAONE;LUXEUIL-LES-BAINS
2013-11167;Gite le Génie du Puymenier;Tourisme et Handicap;Meublé de tourisme;Savitzky Georges;georges.savitzky@orange.fr;http://;555710519;;"auditif ; mental ; moteur";87140;Le Puymenier;Aquitaine Limousin Poitou-Charentes;HAUTE-VIENNE;COMPREIGNAC
2013-11168;Meublé de tourisme Aurigny;Tourisme et Handicap;Meublé de tourisme;;pascal.dudouit@orange.fr;http://pascal.vacances.free.fr;0231922694/0607615441;231922694;"auditif ; mental ; moteur ; visuel";50270;Rue Boildieu;Normandie;MANCHE;BARNEVILLE CARTERET
2013-11169;Musée Jardins Albert Kahn;Tourisme et Handicap;;;accueilmak@cg92.fr;http://www.albert-kahn.fr;155192800;146038659;"auditif ; mental ; moteur";92100;10-14 rue du port;Ile-de-France;HAUTS-DE-SEINE;BOULOGNE-BILLANCOURT
2013-11170;HOTEL  RESTAURANT CHATEAU DE MAULMONT;Tourisme et Handicap;Hôtel-restaurant;;info@chateau-maulmont.com;http://www.chateau-maulmont.com;470591495;470591188;"mental ; moteur ; visuel";63310;;Auvergne Rhône-Alpes;PUY-DE-DOME;SAINT-PRIEST-BRAMEFANT
2013-11171;Gite de séjour Altitude 1200;Tourisme et Handicap;Hébergement collectif;;500diables@gmail.com;http://www.500diables.com;0473888171/0666195122;;"auditif ; mental ; moteur ; visuel";63790;Chambon des Neiges;Auvergne Rhône-Alpes;PUY-DE-DOME;CHAMBON SUR LAC
2013-11172;Auberge des 500 diables;Tourisme et Handicap;Restaurant;;500diables@gmail.com;http://www.500diables.com;0473888171/0666195122;;"auditif ; mental";63790;Chambon sur Neige;Auvergne Rhône-Alpes;PUY-DE-DOME;CHAMBON SUR LAC
2013-11173;Restaurant le 15;Tourisme et Handicap;Restaurant;;h7391@accor.com;http://www.accorhotels.com;437231040;437231685;"mental ; moteur";69970;125 rue des Frères Voisin;Auvergne Rhône-Alpes;RHONE;CHAPONNAY
2013-11174;HOTEL RESTAURANT LA BRECHE DE ROLAND;Tourisme et Handicap;Hôtel-restaurant;;hotel-la-breche@gavarnie.com;http://www.pyrenees-hotel-breche.com;562924854;562924605;"auditif ; mental ; moteur ; visuel";65120;;Languedoc-Roussillon Midi-Pyrénées;HAUTES-PYRENEES;GEDRE
2013-11175;Chambre d'hotes la Ferme de l'Eglise Saint Pierre;Tourisme et Handicap;Chambre d'hôtes;;schmit.jean-michel@wanadoo.fr;http://www.lafermedeleglisestpierre.com;231925517;;"auditif ; mental ; moteur ; visuel";14400;4 rue de l'Eglise;Normandie;CALVADOS;SOMMERVIEU
2013-11176;Chambre d'hôtes Le Grand Noyer;Tourisme et Handicap;Chambre d'hôtes;M. Olivier Coche;legrandnoyer@gmail.com;http://www.legrandnoyer.ambronay.fr;608404689;;"auditif ; mental ; moteur ; visuel";1500;Merland;Auvergne Rhône-Alpes;AIN;AMBRONAY
2013-11177;Gite de groupe Les Pelaz;Tourisme et Handicap;Meublé de tourisme;;lespelaz@wanadoo.fr;http://www.gite-jura-lespelaz.com;479876573;;"mental ; moteur";1260;;Auvergne Rhône-Alpes;AIN;PLANS D'HOTONES (LES)
2013-11179;Hotel Marjolaine;Tourisme et Handicap;Hôtel;;contact@hotel-marjolaine.fr;http://;545664646;545664329;"auditif ; mental ; moteur ; visuel";16440;Les Glamots;Aquitaine Limousin Poitou-Charentes;CHARENTE;ROULLET-SAINT-ESTEPHE
2013-11180;Chambres d'hôtes La Laiterie;Tourisme et Handicap;Chambre d'hôtes;;la-laiterie@la-laiterie.eu;http://www.la-laiterie.eu;233032141;;"auditif ; mental ; moteur ; visuel";50340;6 Hamel au Curé;Normandie;MANCHE;GROSVILLE
2013-11609;Restaurant Auberge Paysanne de la Mer;Tourisme et Handicap;Restaurant;M.Sury;surysi@gmail.com;http://;683082038;;"auditif ; mental ; moteur ; visuel";17410;Chemin de la Galère Le Clos Vert;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINT MARTIN DE RE
2013-11610;Hôtel de France;Tourisme et Handicap;Hôtel;M.Lemasson;contact@hoteldefrancerochefort.com;http://www.hoteldefrancerochefort.com;546993400;;"auditif ; mental ; moteur ; visuel";17300;55 rue du Docteur Peltier;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;ROCHEFORT
2013-11181;Hebergement collectif;Tourisme et Handicap;Hébergement collectif;;contredethebe@orange.fr;http://;0562405897/0683150553;;"mental ; moteur";65370;Centre de montagne de Thebe;Languedoc-Roussillon Midi-Pyrénées;HAUTES-PYRENEES;THEBE
2013-11611;Restaurant la Courtine;Tourisme et Handicap;Restaurant;M.Adol;restaurant-la-courtine@wanadoo.fr;http://www.restaurant-la-courtine.fr;545823478;;"mental ; moteur";16100;Parc Francois 1er Allée Fanchon;Aquitaine Limousin Poitou-Charentes;CHARENTE;COGNAC
2013-11182;Hotel de l'Image;Tourisme et Handicap;Hôtel;;hoteldelimage@gmail.com;http://;237240283;237269739;"mental ; moteur ; visuel";28120;18 place de l'Eglise;Centre -  Val de Loire;EURE-ET-LOIR;ILLIERS-COMBRAY
2013-11183;Ecomusée Les Tuileries de Pouligny;Tourisme et Handicap;;;ecomusee@tuilerie-pouligny.com;http://www.tuilerie-pouligny.com;555621961;555621962;"mental ; moteur ; visuel";23200;Chemin des Tuiliers;Aquitaine Limousin Poitou-Charentes;CREUSE;CHÉNIERS
2013-11184;Camping Campeole le Coiroux;Tourisme et Handicap;Camping;;lvanbree@andretriganogroupe.com;http://camping-coiroux.com;555272196;555271916;"auditif ; mental ; visuel";19190;Centre Touristique du Coiroux;Aquitaine Limousin Poitou-Charentes;CORREZE;AUBAZINES
2013-11185;Arènes Jean Brunet;Tourisme et Handicap;;;animation@vauvert.com;http://www.vauvert.com;466731735;466731736;"auditif ; mental ; moteur";30600;8 place du 8 mai;Languedoc-Roussillon Midi-Pyrénées;GARD;VAUVERT
2013-11186;Gite de séjour;Tourisme et Handicap;Meublé de tourisme;;mairielagrauletdugers@orange.fr;http://www.mairielagrauletdugers.com;562291244;562291421;"mental ; moteur";32330;Au village;Languedoc-Roussillon Midi-Pyrénées;GERS;LAGRAULET-DU-GERS
2013-11187;Hotel Le Solenca;Tourisme et Handicap;Hôtel;;info@solenca.com;http://www.solenca.com;562090908;562090907;"auditif ; mental ; moteur ; visuel";32110;Avenue Daniate;Languedoc-Roussillon Midi-Pyrénées;GERS;NOGARO
2013-11188;Office de tourisme des Coteaux du Lauragais Sud;Tourisme et Handicap;Office de tourisme;;accueil@lauragais.tourisme.com;http://www.lauragaistourisme.fr;562570968;;"auditif ; mental ; moteur ; visuel";31560;Naillloux Village;Languedoc-Roussillon Midi-Pyrénées;HAUTE-GARONNE;NAILLOUX
2013-11612;Restaurant Auberge de la Scierie;Tourisme et Handicap;Restaurant;Mme Fevrier;fevrier.michele@orange.fr;http://www.aubergelascierie.fr;468313466;;"auditif ; mental ; moteur ; visuel";11340;La Scierie;Languedoc-Roussillon Midi-Pyrénées;AUDE;ROQUEFEUIL
2013-11189;Gite les Fontenelles;Tourisme et Handicap;Meublé de tourisme;M.de Bremond d'Ars;giteslesfontenelles@gmail.com;http://;680278026;;"auditif ; mental";36200;Les Fontenelles;Centre -  Val de Loire;INDRE;BOUESSE
2013-11190;Chambres d'hôtes Etoile de la Fontchevrière;Tourisme et Handicap;Chambre d'hôtes;;fab.tissier@hotmail.fr;http://www.etoiledelafontchevriere.fr;786851338;;"auditif ; mental ; moteur ; visuel";36230;Impasse de la Fontchevrière;Centre -  Val de Loire;INDRE;NEUVY-SAINT-SEPULCHRE
2013-11613;Restaurant Hangar 27;Tourisme et Handicap;Restaurant;M.Toupin;restaurant@hangar27.fr;http://www.hangar27.fr;546373737;;"auditif ; mental ; moteur ; visuel";17000;31 Boulevard du Maréchal Lyautey;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;ROCHELLE (LA)
2013-11614;Gite SCI  EYL;Tourisme et Handicap;Meublé de tourisme;M.Viel;lafustelubersacoise@gmail.com;http://;555980334;;"auditif ; mental ; moteur ; visuel";19210;La Bordas;Aquitaine Limousin Poitou-Charentes;CORREZE;LUBERSAC
2013-11191;Espace Balneoludique;Tourisme et Handicap;Structure diverse;Meric Jean Claude;espace.balneoludique@gruissan-mediterranee.com;http://www.gruissan-balneo.com;468756050;468756059;"auditif ; mental ; moteur ; visuel";11430;Avenue des Bains;Languedoc-Roussillon Midi-Pyrénées;AUDE;GRUISSAN
2013-11192;Residence Appart'City;Tourisme et Handicap;Résidence de tourisme;Vigna Pierre;carcassonne@appartcity.com;http://www.appartcity.com;468111160;468111161;"mental ; moteur";11000;190 route de Villemoustaussou;Languedoc-Roussillon Midi-Pyrénées;AUDE;CARCASSONNE
2013-11193;Coopérative Oléicole l'Oulibo;Tourisme et Handicap;Structure diverse;;resp-tourisme@loulibo.com;http://www.loulibo.com;468418888;468418886;"mental ; moteur";11120;4 Hameau Cabezac;Languedoc-Roussillon Midi-Pyrénées;AUDE;BIZE MINERVOIS
2013-11194;Restaurant le Bistro Gourmand;Tourisme et Handicap;Restaurant;Rosado Jean Christophe;lebistrotgourmand@yahoo.fr;http://;468414237;;"auditif ; mental ; moteur ; visuel";11200;56 Bis avenue de Carcassonne;Languedoc-Roussillon Midi-Pyrénées;AUDE;HOMPS
2013-11195;Restaurant M 11;Tourisme et Handicap;Restaurant;Khong Benjamin;contact@restaurantm11.com;http://www.restaurantm11.com;468793231;;"auditif ; mental ; moteur ; visuel";11800;1 bis route des Corbieres;Languedoc-Roussillon Midi-Pyrénées;AUDE;MONZE
2013-11196;Auberge du Lac;Tourisme et Handicap;Restaurant;M.Stranghellini;contact@aubergedulac-mandailles.fr;http://www.aubergedulac-mandailles.fr;565489025;972228262;"auditif ; mental";12500;Mandailles;Languedoc-Roussillon Midi-Pyrénées;AVEYRON;CASTELNAU-DE-MANDAILLES
2013-11197;Village de Vacances Domaine du Ceras VVF;Tourisme et Handicap;Village de vacances;Bernat Alain;;http://www.villages.fr;565495066;565495717;"auditif ; mental";12360;Domaine de Ceras;Languedoc-Roussillon Midi-Pyrénées;AVEYRON;BRUSQUE
2013-11198;Cave Viticole Les Vignerons du Vallon;Tourisme et Handicap;Structure diverse;Gombert Jean Mard;valady@groupe-unicor.com;http://www.vigneronsduvallon.com;565727021;565726839;"auditif ; mental ; moteur ; visuel";12330;RD 840;Languedoc-Roussillon Midi-Pyrénées;AVEYRON;VALADY
2013-11200;Meublé les Courtines 10 personnes;Tourisme et Handicap;Meublé de tourisme;Vereecke Agnès;info@chambres-en-mer-normandie.fr;http://www.chambres-en-mer-normandie.fr;231213866;;"auditif ; mental ; moteur ; visuel";14480;Chemin Les Courtines;Normandie;CALVADOS;MEUVAINES
2013-11201;Office de tourisme de Honfleur;Tourisme et Handicap;Office de tourisme;F.Lecomte;f.lecomte@ot-honfleur.fr;http://www.ot-honfleur.fr;231890545;;"auditif ; mental ; moteur ; visuel";14600;Quai Lepaulmier;Normandie;CALVADOS;HONFLEUR
2013-11202;Office de tourisme de la communauté de communes COPADOZ;Tourisme et Handicap;Office de tourisme;Mercier Jacques;officedetourisme@copadoz.fr;http://;231861279;;"mental ; moteur";14430;128 Grande Rue;Normandie;CALVADOS;DOZULE
2013-11203;Hôtel Amoria;Tourisme et Handicap;Hôtel;Primault Mégane;info@almoria-deauville.com;http://www.almoria-deauville.com;231143232;231854699;"mental ; moteur";14800;37 Avenue de la République;Normandie;CALVADOS;DEAUVILLE
2013-11204;Meublé 4 personnes;Tourisme et Handicap;Meublé de tourisme;Mme  Agnès Vereecke;info@chambre-mer-normandie.fr;http://www.gites-de-france-calvados.fr;231827165;231835764;"auditif ; mental ; moteur ; visuel";14960;29 avenue de la Libération;Normandie;CALVADOS;ASNELLES
2013-11205;Chambres d'hôtes;Tourisme et Handicap;Chambre d'hôtes;Reverdi Catherine;c.reverdi@wanadoo.fr;http://;0950327046/0608948342;;"auditif ; mental ; moteur ; visuel";14960;1 rue de l'Eglise;Normandie;CALVADOS;ASNELLES
2013-11206;Restaurant Le Bistro;Tourisme et Handicap;Restaurant;M.Lebarbanchon;sylvain@lebarbanchon@orange.fr;http://www.le-bistro.fr;231223132;231229990;"auditif ; mental ; moteur ; visuel";14117;19 rue du Maréchal Joffre;Normandie;CALVADOS;ARROMANCHES
2013-11207;Maison Natale de Marcel Pagnol;Tourisme et Handicap;Lieu de visite;Riou Anne Laure;accueil@tourisme-paysdaubagne.fr;http://www.tourisme-paysdaubagne.fr/fr/sa-maison-natale;442033943;442038362;"mental ; moteur";13400;16 Cours Barthélémy;Provence Alpes-Côte d'Azur;BOUCHES-DU-RHONE;AUBAGNE
2013-11208;Balade Chateauneuf les Martigues;Tourisme et Handicap;Structure diverse;Ferrus Corinne;infos@chateauneuflesmartigues-tourisme.com;http://www.chateauneuflesmartigues-tourisme.com;442768937;442798025;"auditif ; mental ; moteur";13200;Lido du Jai 78 plage du Jai;Provence Alpes-Côte d'Azur;BOUCHES-DU-RHONE;CHÂTEAUNEUF LES MARTIGUES
2013-11209;Auberge de jeunesse de Bonneveine;Tourisme et Handicap;Hébergement collectif;Helstroffer Christophe;marseille.bonneveine@fuaj.org;http://www.fuaj.org;491176330;491739723;"auditif ; mental";13008;Impasse Docteur Bongils Avenue J.Vidal;Provence Alpes-Côte d'Azur;BOUCHES-DU-RHONE;MARSEILLE
2013-11615;PRL Les Ruches Cévenoles;Tourisme et Handicap;Meublé de tourisme;M.Langlais;laruche@rousses48.fr;http://www.lesruchescevenoles48.fr;466440854;;"auditif ; mental ; moteur ; visuel";48400;Chemin du Serre;Languedoc-Roussillon Midi-Pyrénées;LOZERE;ROUSSES
2013-11616;Office de tourisme de Chenonceaux;Tourisme et Handicap;Office de tourisme;M.Mialanne;otsi-chenonceaux@9business.fr;http://www.chenonceaux-blere-tourisme.com;247239445;;"auditif ; mental ; moteur ; visuel";37150;1 rue du Docteur Bretonneau;Centre -  Val de Loire;INDRE-ET-LOIRE;CHENONCEAUX
2013-11617;Camping Municipal du Puy d'Anché;Tourisme et Handicap;Camping;M.Eprinchard;spinoux.sauzevaussais@neuf.fr;http://www.mairie-sauze-vaussais.fr;549076053;;"mental ; moteur ; visuel";79190;Route de Chef-Boutonne Le Puy d'Anché;Aquitaine Limousin Poitou-Charentes;DEUX-SEVRES;SAUZE VAUSSAIS
2013-11618;Gite Le Pressoir de Bigard;Tourisme et Handicap;Meublé de tourisme;M.Perie;paulperie@wanadoo.fr;http://;619180864;;"auditif ; mental ; moteur";27500;280 Chemin de la Charité;Normandie;EURE;CAMPIGNY
2013-11619;Restaurant Le Faitout;Tourisme et Handicap;Restaurant;Mme Revilla;lefaitout@gmail.com;http://www.lefaitout.net;467241699;;"auditif ; mental ; moteur ; visuel";34360;1 Place du Pont;Languedoc-Roussillon Midi-Pyrénées;HERAULT;BERLOU
2013-11620;Meublé de tourisme La Métairie;Tourisme et Handicap;Meublé de tourisme;M.Richard;gaecdelablonde@terre-net.fr;http://;680150830;;"auditif ; mental ; moteur";17460;68 rue des Tilleuls;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;VARZAY
2013-11210;Centre Aqualudique des Marches du Velay l'Ozen;Tourisme et Handicap;;;contact@lozen.fr;http://www.centreaquatiquedesmarchesduvelay.fr;471617720;;"auditif ; mental ; moteur ; visuel";43120;Le Mazel;Auvergne Rhône-Alpes;HAUTE-LOIRE;MONISTROL-SUR-LOIRE
2013-11211;Gite rural l'Estaou;Tourisme et Handicap;Meublé de tourisme;;lboyer@cegetel.net;http://www.gites-de-france-haute-loire.com;0687723772/0689372489;;"auditif ; mental ; visuel";43490;Le Suc;Auvergne Rhône-Alpes;HAUTE-LOIRE;ARLEMPDES
2013-11212;Gite de la Ferme des Charolaises;Tourisme et Handicap;Meublé de tourisme;;patricia-berard@orange.fr;http://www.gites-de-france.com;676305707;;"auditif ; mental";42640;Babu;Auvergne Rhône-Alpes;LOIRE;SAINT-FORGEUX-LESPINASSE
2013-11213;Meublé Communal;Tourisme et Handicap;Meublé de tourisme;;mairieflottemanville@orange.fr;http://;616770397;;"auditif ; mental ; moteur ; visuel";50700;Le Ruage;Normandie;MANCHE;FLOTTEMANVILLE
2013-11214;Gite de groupe Le Carrefour;Tourisme et Handicap;Meublé de tourisme;;carrefour-des-jeunes@orange.fr;http://www.gites54.com;383231546;;"auditif ; mental ; moteur";54470;23 Grande Rue;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;BEAUMONT
2013-11215;Restaurant La Divette;Tourisme et Handicap;Restaurant;Le Corre Michel;;http://;233520559;;"auditif ; mental ; moteur ; visuel";50690;6 Le Pont;Normandie;MANCHE;MARTINVAST
